date,visitor_team,visitor_pts,home_team,home_pts
2024-11-17,Dallas Mavericks,121.0,Oklahoma City Thunder,119.0
2024-11-17,Utah Jazz,105.0,Los Angeles Clippers,116.0
2024-11-18,Chicago Bulls,122.0,Detroit Pistons,112.0
2024-11-18,Philadelphia 76ers,89.0,Miami Heat,106.0
2024-11-18,Washington Wizards,106.0,New York Knicks,134.0
2024-11-18,Indiana Pacers,119.0,Toronto Raptors,130.0
2024-11-18,Houston Rockets,100.0,Milwaukee Bucks,101.0
2024-11-18,Orlando Magic,109.0,Phoenix Suns,99.0
2024-11-18,Atlanta Hawks,109.0,Sacramento Kings,108.0
2024-11-18,Golden State Warriors,99.0,Los Angeles Clippers,102.0
2024-11-19,Cleveland Cavaliers,,Boston Celtics,
2024-11-19,Charlotte Hornets,,Brooklyn Nets,
2024-11-19,Denver Nuggets,,Memphis Grizzlies,
2024-11-19,New Orleans Pelicans,,Dallas Mavericks,
2024-11-19,Oklahoma City Thunder,,San Antonio Spurs,
2024-11-19,Utah Jazz,,Los Angeles Lakers,
2024-11-20,New Orleans Pelicans,,Cleveland Cavaliers,
2024-11-20,Chicago Bulls,,Milwaukee Bucks,
2024-11-20,Indiana Pacers,,Houston Rockets,
2024-11-20,Philadelphia 76ers,,Memphis Grizzlies,
2024-11-20,Portland Trail Blazers,,Oklahoma City Thunder,
2024-11-20,Atlanta Hawks,,Golden State Warriors,
2024-11-20,New York Knicks,,Phoenix Suns,
2024-11-20,Orlando Magic,,Los Angeles Clippers,
2024-11-21,Detroit Pistons,,Charlotte Hornets,
2024-11-21,Minnesota Timberwolves,,Toronto Raptors,
2024-11-21,Utah Jazz,,San Antonio Spurs,
2024-11-21,Orlando Magic,,Los Angeles Lakers,
2024-11-22,Brooklyn Nets,,Philadelphia 76ers,
2024-11-22,Boston Celtics,,Washington Wizards,
2024-11-22,Golden State Warriors,,New Orleans Pelicans,
2024-11-22,Atlanta Hawks,,Chicago Bulls,
2024-11-22,Portland Trail Blazers,,Houston Rockets,
2024-11-22,Indiana Pacers,,Milwaukee Bucks,
2024-11-22,Dallas Mavericks,,Denver Nuggets,
2024-11-22,Sacramento Kings,,Los Angeles Clippers,
2024-11-23,New York Knicks,,Utah Jazz,
2024-11-23,Detroit Pistons,,Orlando Magic,
2024-11-23,Memphis Grizzlies,,Chicago Bulls,
2024-11-23,Portland Trail Blazers,,Houston Rockets,
2024-11-23,Charlotte Hornets,,Milwaukee Bucks,
2024-11-23,Golden State Warriors,,San Antonio Spurs,
2024-11-23,Denver Nuggets,,Los Angeles Lakers,
2024-11-24,Minnesota Timberwolves,,Boston Celtics,
2024-11-24,Washington Wizards,,Indiana Pacers,
2024-11-24,Dallas Mavericks,,Miami Heat,
